Day_of_Week,Time_of_Day,Weather,Mood,Social_Context,Location,Sleep_Hours,Work_Intensity,Temperature_Preference,Milk_Type,Sugar_Level,Caffeine_Strength,Cup_Size,Spend_Amount_USD,Coffee_Type
Friday,Afternoon,Cold/Snowy,Tired,With Friends,Office,8.4,High,Hot,None (Black),None,Strong,Medium,7.27,Latte
Monday,Morning,Sunny,Energetic,Alone,Office,7.9,Medium,Iced,Oat Milk,Low,Light,Medium,6.75,Latte
Monday,Afternoon,Cold/Snowy,Tired,Alone,Cafe,6.0,High,Hot,Almond Milk,Medium,Light,Medium,3.97,Espresso
Sunday,Afternoon,Cloudy,Tired,Alone,Cafe,6.2,Medium,Iced,None (Black),Medium,Strong,Large,2.54,Cold Brew
Wednesday,Afternoon,Sunny,Stressed,With Friends,On-the-Go,6.3,High,Hot,Oat Milk,Medium,Medium,Medium,3.98,Frappuccino
Wednesday,Evening,Sunny,Tired,Alone,On-the-Go,5.3,High,Hot,Whole Milk,None,Light,Medium,3.91,Cappuccino
Saturday,Morning,Rainy,Stressed,Alone,Home,5.8,Medium,Iced,Whole Milk,Low,Medium,Large,6.95,Espresso
Sunday,Morning,Cold/Snowy,Energetic,With Friends,Cafe,6.1,High,Iced,Whole Milk,None,Strong,Large,7.34,Latte
Sunday,Morning,Sunny,Melancholic,With Friends,Office,8.9,High,Iced,Whole Milk,Low,Light,Medium,2.85,Americano
Saturday,Morning,Cloudy,Energetic,With Colleague,Cafe,7.9,Medium,Hot,None (Black),None,Medium,Medium,4.86,Flat White
Wednesday,Morning,Sunny,Tired,Alone,Office,7.9,Low,Iced,Oat Milk,Medium,Decaf,Large,5.24,Espresso
Monday,Morning,Cloudy,Stressed,With Colleague,On-the-Go,7.1,Medium,Iced,None (Black),Low,Light,Small,2.96,Espresso
Saturday,Morning,Rainy,Relaxed,With Friends,Cafe,4.8,High,Hot,Whole Milk,Medium,Medium,Small,4.39,Flat White
Thursday,Night,Rainy,Melancholic,Alone,On-the-Go,6.4,Medium,Hot,None (Black),None,Light,Medium,4.09,Decaf Latte
Wednesday,Afternoon,Cloudy,Energetic,With Friends,Cafe,8.0,Low,Hot,Oat Milk,None,Strong,Medium,5.18,Cappuccino
Sunday,Morning,Cloudy,Tired,Alone,On-the-Go,4.6,Low,Iced,None (Black),None,Strong,Large,5.81,Americano
Monday,Afternoon,Cold/Snowy,Melancholic,On a Date,Cafe,7.5,Medium,Hot,Whole Milk,Low,Strong,Medium,6.02,Latte
Thursday,Morning,Sunny,Tired,Alone,Office,10.0,Medium,Hot,Whole Milk,Medium,Light,Large,3.18,Americano
Monday,Morning,Cloudy,Stressed,With Friends,Home,8.1,Medium,Iced,Oat Milk,Low,Medium,Small,6.56,Espresso
Thursday,Afternoon,Sunny,Energetic,Alone,Office,8.6,Medium,Hot,Whole Milk,None,Light,Small,5.89,Latte
Monday,Morning,Rainy,Tired,On a Date,Home,6.8,Medium,Iced,Oat Milk,None,Medium,Medium,6.95,Espresso
Monday,Morning,Rainy,Tired,Alone,Office,8.0,Low,Hot,None (Black),None,Medium,Large,4.75,Espresso
Monday,Night,Rainy,Tired,On a Date,Office,5.4,Low,Hot,None (Black),Medium,Medium,Medium,6.97,Decaf Latte
Friday,Evening,Rainy,Stressed,With Colleague,Office,7.7,Low,Hot,Whole Milk,Low,Light,Small,6.83,Espresso
Friday,Afternoon,Cold/Snowy,Melancholic,Alone,On-the-Go,7.5,Medium,Iced,Almond Milk,Medium,Medium,Medium,4.69,Americano
Thursday,Afternoon,Sunny,Tired,With Colleague,On-the-Go,6.9,Medium,Iced,None (Black),Medium,Strong,Medium,4.41,Iced Latte
Sunday,Afternoon,Cloudy,Relaxed,On a Date,Home,8.5,Medium,Iced,None (Black),None,Medium,Medium,7.16,Cappuccino
Wednesday,Morning,Sunny,Tired,Alone,Office,5.7,Low,Iced,None (Black),None,Strong,Small,6.08,Espresso
Tuesday,Morning,Sunny,Energetic,Alone,Office,6.2,Low,Hot,Whole Milk,Medium,Strong,Large,7.14,Flat White
Saturday,Morning,Sunny,Tired,Alone,Office,6.6,Low,Hot,Whole Milk,Medium,Medium,Medium,6.48,Americano
Tuesday,Morning,Cold/Snowy,Melancholic,Alone,Cafe,5.0,High,Hot,Oat Milk,Low,Medium,Medium,5.55,Latte
Sunday,Afternoon,Cold/Snowy,Relaxed,Alone,Office,6.8,Medium,Hot,None (Black),None,Strong,Small,3.08,Cappuccino
Monday,Morning,Cold/Snowy,Stressed,Alone,Office,3.9,High,Iced,None (Black),None,Light,Small,3.96,Americano
Sunday,Night,Cold/Snowy,Relaxed,Alone,On-the-Go,8.1,High,Hot,None (Black),None,Medium,Medium,7.34,Decaf Latte
Monday,Evening,Sunny,Stressed,Alone,Cafe,6.6,Medium,Iced,Whole Milk,None,Strong,Large,4.1,Americano
Sunday,Afternoon,Sunny,Melancholic,Alone,Home,5.7,Medium,Iced,Whole Milk,None,Medium,Medium,2.97,Americano
Thursday,Afternoon,Cloudy,Stressed,With Colleague,Cafe,5.2,Low,Hot,None (Black),Low,Light,Large,6.04,Latte
Sunday,Evening,Rainy,Melancholic,With Friends,Office,6.1,Medium,Iced,Almond Milk,None,Medium,Large,6.17,Latte
Monday,Morning,Rainy,Energetic,Alone,Home,7.5,Medium,Hot,None (Black),None,Medium,Small,3.93,Espresso
Thursday,Afternoon,Sunny,Tired,With Friends,Home,7.3,High,Iced,Whole Milk,Medium,Light,Medium,3.99,Iced Latte
Sunday,Morning,Rainy,Energetic,With Friends,Office,5.4,Low,Hot,Whole Milk,Low,Medium,Medium,4.84,Latte
Thursday,Afternoon,Rainy,Tired,On a Date,Office,5.2,High,Hot,None (Black),High,Light,Medium,2.61,Espresso
Friday,Morning,Sunny,Stressed,Alone,Home,7.5,Low,Hot,Oat Milk,Low,Medium,Medium,6.45,Americano
Friday,Evening,Rainy,Energetic,Alone,Cafe,5.4,High,Iced,Oat Milk,Medium,Strong,Medium,4.09,Cappuccino
Thursday,Evening,Rainy,Stressed,With Colleague,Cafe,6.6,Medium,Iced,Whole Milk,None,Medium,Medium,6.77,Cold Brew
Friday,Morning,Rainy,Tired,On a Date,Home,6.7,Medium,Hot,Whole Milk,Medium,Medium,Large,6.51,Americano
Thursday,Morning,Sunny,Tired,With Friends,Home,7.0,Medium,Iced,None (Black),None,Decaf,Small,5.81,Espresso
Sunday,Night,Cloudy,Energetic,With Colleague,Cafe,7.8,Medium,Hot,Whole Milk,None,Light,Medium,4.12,Decaf Latte
Monday,Morning,Sunny,Melancholic,Alone,Home,4.6,Medium,Iced,None (Black),High,Light,Medium,5.08,Espresso
Tuesday,Evening,Sunny,Energetic,Alone,On-the-Go,3.6,High,Hot,Oat Milk,Low,Medium,Medium,4.72,Latte
Sunday,Afternoon,Cloudy,Energetic,Alone,Office,5.6,Low,Hot,None (Black),High,Light,Medium,4.19,Americano
Sunday,Morning,Rainy,Stressed,Alone,Office,9.2,High,Iced,None (Black),Low,Medium,Large,6.74,Americano
Thursday,Morning,Sunny,Stressed,With Colleague,Home,9.5,Medium,Hot,None (Black),Low,Light,Medium,4.92,Espresso
Friday,Morning,Cloudy,Tired,Alone,Home,9.2,High,Hot,None (Black),Low,Strong,Medium,6.66,Americano
Tuesday,Afternoon,Rainy,Energetic,Alone,Home,6.2,Medium,Hot,Whole Milk,Medium,Strong,Medium,3.03,Americano
Tuesday,Morning,Cloudy,Tired,On a Date,Home,3.8,Medium,Hot,None (Black),Low,Medium,Medium,3.21,Espresso
Thursday,Afternoon,Cloudy,Melancholic,Alone,Office,3.0,High,Hot,Oat Milk,High,Light,Medium,7.39,Cappuccino
Wednesday,Morning,Rainy,Tired,On a Date,Home,5.6,Medium,Iced,None (Black),None,Strong,Large,5.44,Espresso
Thursday,Afternoon,Rainy,Energetic,On a Date,Office,6.2,Medium,Hot,Whole Milk,Medium,Strong,Large,5.05,Espresso
Monday,Evening,Sunny,Tired,With Friends,Office,8.5,Low,Hot,Whole Milk,Low,Light,Medium,5.12,Espresso
Sunday,Night,Sunny,Tired,Alone,Home,7.8,Low,Hot,Almond Milk,None,Medium,Medium,3.58,Decaf Latte
Sunday,Morning,Rainy,Relaxed,Alone,Home,6.8,Medium,Iced,Almond Milk,Low,Strong,Small,6.09,Flat White
Friday,Evening,Rainy,Tired,Alone,Home,5.2,Medium,Iced,Oat Milk,Low,Medium,Small,2.92,Latte
Thursday,Afternoon,Rainy,Tired,Alone,Home,5.1,Medium,Iced,Oat Milk,None,Medium,Small,5.37,Latte
Wednesday,Afternoon,Sunny,Energetic,Alone,Cafe,6.9,Low,Hot,Whole Milk,None,Medium,Small,5.35,Cappuccino
Saturday,Night,Sunny,Tired,On a Date,Office,7.5,Medium,Hot,Oat Milk,Low,Medium,Medium,7.07,Decaf Latte
Friday,Morning,Rainy,Tired,Alone,Cafe,7.1,Medium,Iced,Almond Milk,Low,Medium,Medium,5.13,Americano
Tuesday,Morning,Sunny,Relaxed,With Friends,Office,4.9,Medium,Iced,None (Black),Low,Strong,Medium,3.19,Latte
Sunday,Evening,Cloudy,Relaxed,Alone,Office,7.5,High,Hot,Whole Milk,None,Medium,Medium,5.36,Latte
Saturday,Morning,Sunny,Melancholic,With Friends,Office,7.1,High,Hot,None (Black),None,Light,Medium,2.96,Cappuccino
Sunday,Evening,Rainy,Relaxed,With Colleague,Cafe,4.9,Low,Hot,Whole Milk,High,Medium,Medium,3.52,Flat White
Friday,Evening,Cold/Snowy,Stressed,Alone,Home,5.3,High,Hot,Whole Milk,High,Medium,Medium,2.66,Cold Brew
Friday,Morning,Sunny,Tired,Alone,Home,7.5,Medium,Iced,Whole Milk,Low,Light,Large,5.07,Americano
Wednesday,Evening,Rainy,Relaxed,With Friends,Office,6.1,Medium,Hot,Whole Milk,High,Medium,Small,2.92,Latte
Sunday,Morning,Sunny,Relaxed,With Friends,Office,8.9,Low,Hot,Almond Milk,Medium,Strong,Large,4.85,Americano
Saturday,Afternoon,Rainy,Relaxed,With Friends,Office,7.3,Medium,Hot,Whole Milk,None,Medium,Medium,7.16,Latte
Monday,Afternoon,Rainy,Energetic,Alone,Office,5.8,Low,Hot,Oat Milk,None,Light,Medium,6.1,Cappuccino
Monday,Evening,Rainy,Tired,Alone,Office,6.5,Medium,Hot,None (Black),High,Light,Small,2.89,Cold Brew
Wednesday,Morning,Rainy,Relaxed,On a Date,Office,6.6,Low,Hot,Whole Milk,Medium,Medium,Small,3.62,Americano
Saturday,Morning,Cold/Snowy,Stressed,With Colleague,Office,5.4,Low,Iced,Whole Milk,Medium,Medium,Medium,5.87,Espresso
Sunday,Afternoon,Sunny,Melancholic,Alone,Cafe,5.1,Low,Hot,None (Black),Medium,Medium,Medium,6.97,Cappuccino
Tuesday,Afternoon,Sunny,Tired,With Colleague,Cafe,7.6,Low,Hot,Whole Milk,Low,Medium,Medium,2.66,Iced Latte
Friday,Afternoon,Cold/Snowy,Tired,Alone,Office,7.8,Low,Hot,Whole Milk,None,Light,Medium,6.56,Cappuccino
Wednesday,Morning,Rainy,Tired,Alone,Cafe,7.4,Medium,Hot,Whole Milk,None,Light,Medium,5.31,Espresso
Sunday,Morning,Cold/Snowy,Relaxed,Alone,On-the-Go,8.8,Low,Hot,Whole Milk,None,Medium,Medium,5.23,Cappuccino
Saturday,Morning,Rainy,Tired,Alone,Office,5.7,Medium,Hot,Whole Milk,None,Light,Large,7.29,Americano
Saturday,Evening,Cloudy,Tired,Alone,Office,9.0,Low,Iced,None (Black),Low,Strong,Large,6.24,Americano
Thursday,Morning,Rainy,Melancholic,Alone,Cafe,5.1,High,Hot,Whole Milk,None,Light,Medium,6.75,Cold Brew
Wednesday,Morning,Cloudy,Tired,Alone,Office,5.0,High,Iced,None (Black),None,Medium,Medium,4.27,Americano
Tuesday,Night,Cold/Snowy,Relaxed,With Colleague,Home,3.9,Low,Hot,None (Black),Low,Medium,Small,5.27,Decaf Latte
Monday,Morning,Rainy,Energetic,With Friends,On-the-Go,5.8,Medium,Hot,None (Black),Low,Medium,Large,5.58,Americano
Saturday,Night,Sunny,Relaxed,With Friends,Home,5.7,Low,Iced,None (Black),Low,Strong,Medium,4.11,Decaf Latte
Saturday,Afternoon,Sunny,Stressed,With Colleague,Cafe,7.3,High,Hot,None (Black),Low,Medium,Large,5.35,Iced Latte
Sunday,Evening,Sunny,Melancholic,Alone,Cafe,6.9,Medium,Hot,None (Black),Medium,Medium,Medium,3.68,Cappuccino
Sunday,Morning,Sunny,Melancholic,With Friends,On-the-Go,4.7,Low,Hot,None (Black),High,Medium,Large,3.22,Latte
Thursday,Morning,Sunny,Tired,With Colleague,Home,5.9,Medium,Hot,Whole Milk,None,Medium,Medium,4.37,Espresso
Saturday,Afternoon,Rainy,Tired,Alone,Office,5.9,Low,Hot,None (Black),None,Strong,Medium,6.2,Espresso
Sunday,Evening,Rainy,Tired,Alone,Office,3.8,Medium,Hot,Whole Milk,Medium,Medium,Medium,7.08,Flat White
Saturday,Afternoon,Rainy,Stressed,Alone,Office,5.0,Medium,Iced,Almond Milk,Low,Medium,Large,4.79,Cappuccino
Tuesday,Morning,Rainy,Relaxed,With Colleague,Home,5.3,Medium,Iced,Oat Milk,Medium,Strong,Large,5.71,Americano
Thursday,Afternoon,Sunny,Energetic,Alone,Office,8.7,Medium,Hot,None (Black),None,Strong,Medium,3.02,Cold Brew
Monday,Afternoon,Sunny,Stressed,With Colleague,Office,6.8,Low,Hot,Almond Milk,Medium,Medium,Medium,7.02,Iced Latte
Sunday,Afternoon,Sunny,Tired,With Friends,Home,7.5,Low,Hot,None (Black),High,Medium,Medium,5.34,Iced Latte
Friday,Afternoon,Rainy,Relaxed,With Friends,Office,4.3,Low,Hot,None (Black),Medium,Light,Medium,6.4,Cappuccino
Tuesday,Evening,Sunny,Melancholic,With Colleague,Cafe,8.3,High,Iced,Almond Milk,None,Medium,Large,6.47,Cold Brew
Friday,Afternoon,Sunny,Tired,With Friends,Cafe,8.5,Low,Hot,Oat Milk,Medium,Medium,Medium,3.78,Iced Latte
Friday,Morning,Rainy,Energetic,Alone,On-the-Go,3.5,Medium,Hot,Whole Milk,Medium,Strong,Medium,5.15,Cappuccino
Wednesday,Morning,Cloudy,Tired,Alone,Office,5.4,Medium,Iced,Whole Milk,Medium,Medium,Medium,7.3,Espresso
Monday,Morning,Sunny,Stressed,With Colleague,On-the-Go,7.2,Low,Iced,Whole Milk,None,Medium,Medium,2.95,Americano
Friday,Morning,Rainy,Energetic,Alone,On-the-Go,7.5,Medium,Iced,None (Black),Medium,Decaf,Large,5.92,Flat White
Thursday,Morning,Cloudy,Tired,Alone,Home,5.5,Medium,Iced,None (Black),None,Medium,Medium,7.31,Espresso
Saturday,Morning,Cloudy,Energetic,Alone,Home,6.0,Medium,Iced,Whole Milk,None,Strong,Medium,4.0,Flat White
Thursday,Morning,Cold/Snowy,Tired,With Colleague,Office,5.6,Medium,Hot,Almond Milk,Low,Light,Medium,6.81,Espresso
Saturday,Morning,Sunny,Energetic,Alone,Office,6.7,Medium,Hot,None (Black),None,Decaf,Medium,7.17,Latte
Thursday,Evening,Sunny,Stressed,With Friends,Office,8.3,Medium,Hot,Oat Milk,Medium,Medium,Medium,6.24,Flat White
Thursday,Evening,Cold/Snowy,Tired,Alone,Office,5.3,Medium,Hot,None (Black),Medium,Medium,Large,3.66,Americano
Saturday,Morning,Rainy,Relaxed,Alone,Cafe,8.0,Medium,Iced,Whole Milk,None,Medium,Medium,4.17,Cappuccino
Wednesday,Night,Rainy,Stressed,With Friends,Office,5.3,Low,Hot,Whole Milk,Medium,Medium,Large,2.68,Decaf Latte
Monday,Afternoon,Cloudy,Energetic,Alone,Home,5.2,Medium,Hot,Whole Milk,High,Medium,Small,6.66,Espresso
Monday,Morning,Cloudy,Tired,With Friends,On-the-Go,7.7,Low,Hot,None (Black),None,Medium,Large,6.75,Americano
Saturday,Morning,Cold/Snowy,Relaxed,With Colleague,Office,7.9,Low,Hot,Whole Milk,Low,Strong,Medium,5.66,Cold Brew
Friday,Afternoon,Cold/Snowy,Melancholic,With Colleague,On-the-Go,7.8,Medium,Iced,Whole Milk,Low,Light,Small,4.26,Americano
Friday,Afternoon,Cloudy,Tired,Alone,Home,4.5,High,Hot,None (Black),Low,Medium,Medium,2.88,Cold Brew
Tuesday,Afternoon,Sunny,Tired,With Colleague,On-the-Go,5.8,High,Hot,None (Black),None,Medium,Large,6.27,Iced Latte
Monday,Morning,Cold/Snowy,Tired,With Friends,Home,7.7,Low,Hot,Whole Milk,Low,Strong,Small,6.13,Americano
Monday,Morning,Sunny,Stressed,With Colleague,Home,6.6,Medium,Iced,Whole Milk,None,Strong,Medium,7.06,Americano
Wednesday,Morning,Sunny,Tired,Alone,Home,4.9,Medium,Iced,None (Black),High,Medium,Large,6.15,Espresso
Thursday,Morning,Cold/Snowy,Energetic,Alone,Cafe,7.2,Low,Hot,Whole Milk,Medium,Medium,Small,6.64,Latte
Wednesday,Morning,Sunny,Stressed,With Colleague,On-the-Go,5.4,High,Iced,Almond Milk,Low,Light,Medium,6.23,Espresso
Wednesday,Morning,Sunny,Stressed,With Colleague,Office,9.2,Medium,Iced,None (Black),Low,Light,Medium,5.65,Americano
Sunday,Evening,Sunny,Energetic,Alone,On-the-Go,8.8,High,Iced,Whole Milk,Low,Strong,Medium,4.63,Latte
Wednesday,Evening,Cold/Snowy,Energetic,Alone,Office,7.4,Low,Iced,None (Black),Low,Strong,Medium,7.01,Latte
Thursday,Morning,Rainy,Stressed,Alone,Office,8.5,Low,Iced,None (Black),Low,Strong,Small,5.75,Espresso
Saturday,Evening,Cloudy,Tired,Alone,Cafe,6.6,High,Hot,None (Black),Low,Light,Medium,4.49,Latte
Wednesday,Morning,Sunny,Tired,Alone,Home,7.6,Medium,Iced,Whole Milk,None,Medium,Small,2.92,Americano
Friday,Morning,Cloudy,Relaxed,Alone,Office,8.7,High,Iced,Oat Milk,None,Medium,Medium,3.95,Cappuccino
Saturday,Morning,Cloudy,Tired,With Colleague,On-the-Go,6.9,Low,Iced,None (Black),Low,Medium,Medium,5.22,Espresso
Sunday,Afternoon,Sunny,Stressed,Alone,On-the-Go,6.1,Medium,Iced,Whole Milk,Medium,Medium,Medium,3.88,Espresso
Monday,Night,Rainy,Melancholic,With Friends,On-the-Go,3.9,Medium,Hot,Whole Milk,None,Strong,Medium,3.61,Macchiato
Sunday,Afternoon,Sunny,Tired,Alone,On-the-Go,6.4,Low,Hot,None (Black),None,Medium,Large,5.14,Latte
Thursday,Morning,Cold/Snowy,Energetic,Alone,Home,7.7,Medium,Hot,Whole Milk,None,Light,Large,3.35,Latte
Tuesday,Afternoon,Rainy,Stressed,Alone,Cafe,7.9,Medium,Iced,Oat Milk,High,Light,Large,6.5,Flat White
Thursday,Morning,Cold/Snowy,Relaxed,Alone,Office,7.3,Low,Hot,Oat Milk,Medium,Decaf,Medium,4.92,Cappuccino
Sunday,Evening,Sunny,Melancholic,With Colleague,On-the-Go,5.7,Medium,Hot,Oat Milk,Low,Medium,Large,5.37,Flat White
Thursday,Afternoon,Cloudy,Stressed,With Colleague,Office,3.5,Medium,Hot,None (Black),High,Light,Large,3.24,Cappuccino
Wednesday,Morning,Cloudy,Tired,Alone,Office,5.8,Medium,Hot,Oat Milk,Low,Medium,Medium,4.12,Espresso
Friday,Afternoon,Cloudy,Stressed,Alone,Office,6.0,High,Iced,None (Black),High,Medium,Medium,4.55,Latte
Tuesday,Afternoon,Cold/Snowy,Energetic,Alone,Office,6.0,Medium,Iced,Whole Milk,None,Strong,Small,6.54,Latte
Monday,Morning,Sunny,Energetic,With Colleague,Home,7.4,Medium,Iced,Almond Milk,None,Strong,Medium,6.35,Cold Brew
Monday,Afternoon,Sunny,Tired,With Colleague,On-the-Go,9.5,High,Hot,None (Black),Medium,Medium,Large,3.61,Frappuccino
Monday,Morning,Cloudy,Tired,Alone,Cafe,6.7,High,Iced,Whole Milk,Low,Light,Medium,5.58,Americano
Tuesday,Afternoon,Cloudy,Relaxed,With Friends,Home,6.2,Low,Hot,Whole Milk,Medium,Light,Medium,3.72,Cold Brew
Monday,Evening,Rainy,Energetic,With Colleague,Cafe,6.1,High,Hot,Whole Milk,Low,Strong,Small,7.44,Cold Brew
Friday,Evening,Sunny,Tired,Alone,Office,6.7,Low,Iced,None (Black),Medium,Medium,Small,7.26,Espresso
Tuesday,Afternoon,Rainy,Energetic,Alone,Office,5.3,Low,Iced,Almond Milk,None,Light,Medium,5.32,Cold Brew
Wednesday,Afternoon,Sunny,Relaxed,With Colleague,Home,6.7,Medium,Iced,Whole Milk,None,Strong,Large,5.99,Iced Latte
Sunday,Morning,Rainy,Stressed,With Friends,On-the-Go,7.2,Medium,Hot,None (Black),High,Medium,Medium,6.51,Espresso
Thursday,Afternoon,Rainy,Tired,Alone,Cafe,6.8,High,Hot,None (Black),Medium,Strong,Large,6.1,Americano
Friday,Morning,Cloudy,Tired,Alone,Office,7.2,Medium,Hot,Oat Milk,High,Medium,Small,6.0,Americano
Tuesday,Morning,Sunny,Tired,Alone,Office,7.2,High,Hot,None (Black),Medium,Medium,Medium,7.29,Americano
Tuesday,Morning,Rainy,Melancholic,Alone,Home,3.8,Medium,Hot,None (Black),Medium,Medium,Medium,5.48,Cold Brew
Monday,Morning,Sunny,Stressed,With Friends,Office,7.5,Medium,Hot,Whole Milk,Low,Strong,Large,5.68,Espresso
Tuesday,Afternoon,Sunny,Energetic,Alone,Home,5.5,Medium,Hot,Whole Milk,None,Strong,Small,6.75,Espresso
Tuesday,Morning,Cloudy,Stressed,With Friends,Home,4.9,High,Hot,Whole Milk,None,Medium,Small,5.85,Americano
Tuesday,Afternoon,Cold/Snowy,Energetic,With Colleague,Cafe,4.8,Medium,Iced,Whole Milk,None,Light,Medium,6.16,Latte
Monday,Morning,Sunny,Relaxed,Alone,On-the-Go,7.2,High,Iced,Oat Milk,Medium,Medium,Large,3.67,Flat White
Monday,Morning,Cloudy,Energetic,Alone,Office,6.2,High,Iced,Almond Milk,None,Strong,Small,4.36,Americano
Thursday,Afternoon,Cold/Snowy,Tired,Alone,Home,4.0,Low,Hot,None (Black),High,Medium,Small,3.24,Americano
Tuesday,Morning,Cloudy,Tired,With Friends,Office,7.2,Medium,Hot,Whole Milk,Low,Strong,Medium,5.03,Americano
Wednesday,Morning,Sunny,Energetic,Alone,On-the-Go,4.3,High,Hot,Almond Milk,Medium,Medium,Medium,4.78,Cappuccino
Thursday,Afternoon,Cold/Snowy,Melancholic,With Friends,Cafe,6.7,High,Hot,Whole Milk,None,Medium,Large,7.49,Cappuccino
Friday,Morning,Sunny,Tired,With Colleague,On-the-Go,6.9,Low,Hot,Whole Milk,None,Medium,Large,5.56,Espresso
Monday,Evening,Sunny,Relaxed,Alone,Office,7.8,Medium,Hot,None (Black),High,Medium,Medium,6.43,Latte
Saturday,Morning,Sunny,Relaxed,With Colleague,Cafe,9.2,Medium,Iced,Whole Milk,None,Strong,Large,4.17,Cappuccino
Friday,Morning,Rainy,Tired,On a Date,Home,4.5,Low,Hot,Whole Milk,None,Medium,Medium,6.66,Espresso
Monday,Afternoon,Sunny,Tired,Alone,Office,6.4,Medium,Iced,Whole Milk,None,Medium,Medium,5.58,Flat White
Saturday,Morning,Sunny,Tired,Alone,Office,6.1,Medium,Iced,Almond Milk,None,Medium,Large,5.98,Espresso
Sunday,Morning,Sunny,Stressed,On a Date,Office,7.2,Medium,Hot,None (Black),None,Light,Medium,3.97,Espresso
Monday,Morning,Cloudy,Tired,On a Date,On-the-Go,6.8,Medium,Hot,None (Black),Medium,Strong,Medium,5.24,Americano
Tuesday,Morning,Cold/Snowy,Energetic,Alone,On-the-Go,6.0,Medium,Iced,None (Black),Low,Medium,Medium,5.67,Flat White
Saturday,Evening,Sunny,Energetic,Alone,Home,5.8,Medium,Hot,Whole Milk,Low,Strong,Medium,5.45,Espresso
Friday,Morning,Cold/Snowy,Stressed,Alone,Home,4.8,Medium,Hot,None (Black),None,Medium,Small,7.08,Espresso
Tuesday,Afternoon,Cold/Snowy,Tired,On a Date,Office,8.0,Medium,Iced,Whole Milk,Medium,Strong,Medium,6.99,Cappuccino
Tuesday,Evening,Cloudy,Energetic,Alone,Home,7.2,Low,Iced,None (Black),Medium,Strong,Large,7.35,Cappuccino
Wednesday,Morning,Sunny,Energetic,Alone,Office,7.9,Low,Iced,Whole Milk,None,Medium,Medium,5.84,Latte
Thursday,Evening,Cloudy,Energetic,With Colleague,On-the-Go,6.0,Low,Hot,None (Black),Low,Strong,Medium,7.36,Espresso
Friday,Morning,Cold/Snowy,Relaxed,Alone,On-the-Go,5.5,Medium,Hot,Oat Milk,None,Light,Large,6.66,Cappuccino
Wednesday,Night,Cloudy,Tired,With Friends,Cafe,4.9,High,Hot,Whole Milk,Medium,Medium,Small,3.85,Decaf Latte
Thursday,Morning,Sunny,Relaxed,Alone,Cafe,7.0,Low,Hot,Almond Milk,Medium,Strong,Medium,4.64,Cappuccino
Friday,Afternoon,Rainy,Stressed,With Colleague,Office,4.9,Low,Hot,Whole Milk,High,Medium,Medium,3.69,Americano
Monday,Morning,Rainy,Stressed,Alone,Home,9.3,Medium,Hot,None (Black),None,Medium,Small,2.52,Espresso
Tuesday,Morning,Rainy,Stressed,With Friends,Office,4.5,Medium,Iced,None (Black),Low,Strong,Medium,3.44,Americano
Friday,Afternoon,Sunny,Energetic,With Friends,Office,6.9,High,Iced,Almond Milk,None,Strong,Medium,2.52,Iced Latte
Sunday,Afternoon,Sunny,Tired,Alone,Cafe,8.9,Medium,Iced,Whole Milk,Low,Medium,Large,6.1,Cappuccino
Thursday,Morning,Cloudy,Stressed,Alone,Home,7.4,Medium,Iced,None (Black),Low,Medium,Large,4.63,Espresso
Thursday,Morning,Cold/Snowy,Energetic,Alone,Office,6.8,Medium,Hot,Whole Milk,None,Medium,Large,4.06,Latte
Monday,Afternoon,Sunny,Stressed,Alone,Office,5.0,Medium,Hot,Whole Milk,Medium,Medium,Medium,6.31,Americano
Wednesday,Afternoon,Cold/Snowy,Tired,With Colleague,On-the-Go,4.4,Low,Iced,None (Black),Low,Medium,Medium,6.66,Latte
Thursday,Night,Sunny,Melancholic,With Colleague,Office,7.7,Low,Iced,None (Black),Medium,Medium,Large,7.38,Decaf Latte
Tuesday,Afternoon,Cloudy,Stressed,Alone,Cafe,8.8,Low,Hot,Oat Milk,None,Medium,Medium,5.71,Cold Brew
Tuesday,Night,Cloudy,Tired,With Friends,Cafe,5.8,High,Hot,None (Black),High,Light,Medium,4.81,Decaf Latte
Wednesday,Afternoon,Cloudy,Energetic,With Friends,Home,4.8,Medium,Iced,None (Black),High,Light,Medium,4.03,Latte
Monday,Morning,Cold/Snowy,Relaxed,With Colleague,Office,3.0,Low,Hot,None (Black),High,Light,Medium,3.61,Latte
Wednesday,Morning,Sunny,Relaxed,Alone,On-the-Go,5.0,Medium,Hot,None (Black),Medium,Medium,Medium,3.56,Latte
Tuesday,Afternoon,Cold/Snowy,Energetic,Alone,Office,6.3,Medium,Hot,Whole Milk,Medium,Strong,Medium,4.55,Americano
Wednesday,Afternoon,Sunny,Relaxed,Alone,On-the-Go,8.9,Medium,Iced,None (Black),Low,Decaf,Medium,7.46,Espresso
Monday,Morning,Cloudy,Tired,Alone,Home,7.5,Low,Hot,None (Black),None,Light,Medium,2.5,Americano
Sunday,Morning,Cloudy,Energetic,Alone,Home,7.0,Medium,Iced,Almond Milk,Medium,Medium,Medium,3.49,Latte
Friday,Night,Cloudy,Relaxed,Alone,On-the-Go,5.9,High,Hot,None (Black),Medium,Medium,Large,3.44,Decaf Latte
Friday,Afternoon,Sunny,Relaxed,Alone,Cafe,5.6,Low,Hot,Whole Milk,High,Light,Large,6.09,Cappuccino
